City: Lyons, IL, X-Axis: 41.8133, Y-Axis: 87.8218
City: South Haven, IN, X-Axis: 41.5436, Y-Axis: 87.1366
City: Portage, IN, X-Axis: 41.5819, Y-Axis: 87.1866
City: Brookfield, IL, X-Axis: 41.8227, Y-Axis: 87.8475
City: Stickney, IL, X-Axis: 41.817, Y-Axis: 87.7868
City: La Grange Park, IL, X-Axis: 41.8298, Y-Axis: 87.8692
City: Linton, IN, X-Axis: 39.0363, Y-Axis: 87.1655
City: Oak Brook, IL, X-Axis: 41.8402, Y-Axis: 87.9531
City: Lizton, IN, X-Axis: 39.8853, Y-Axis: 86.5442
City: Riverside, IL, X-Axis: 41.8309, Y-Axis: 87.816
City: Amo, IN, X-Axis: 39.6887, Y-Axis: 86.613
City: Stilesville, IN, X-Axis: 39.6395, Y-Axis: 86.6328
City: North Judson, IN, X-Axis: 41.2171, Y-Axis: 86.7759
City: Oakbrook Terrace, IL, X-Axis: 41.8537, Y-Axis: 87.9682
City: Oaktown, IN, X-Axis: 38.8713, Y-Axis: 87.4402
City: North Riverside, IL, X-Axis: 41.8462, Y-Axis: 87.8296
City: Berwyn, IL, X-Axis: 41.8425, Y-Axis: 87.7899
City: Westchester, IL, X-Axis: 41.8539, Y-Axis: 87.8837
City: Ogden Dunes, IN, X-Axis: 41.6243, Y-Axis: 87.1913
City: Cicero, IL, X-Axis: 41.8452, Y-Axis: 87.7599
City: Broadview, IL, X-Axis: 41.8594, Y-Axis: 87.8542
City: Russellville, IL, X-Axis: 38.8198, Y-Axis: 87.5314
City: Lombard, IL, X-Axis: 41.876, Y-Axis: 88.0151
City: Lebanon, IN, X-Axis: 40.0521, Y-Axis: 86.4716
City: Chicago, IL, X-Axis: 41.8407, Y-Axis: 87.6794
City: Hillside, IL, X-Axis: 41.8748, Y-Axis: 87.9004
City: Ulen, IN, X-Axis: 40.0642, Y-Axis: 86.4634
City: Forest Park, IL, X-Axis: 41.873, Y-Axis: 87.8112
City: Worthington, IN, X-Axis: 39.1186, Y-Axis: 86.9799
City: Villa Park, IL, X-Axis: 41.8886, Y-Axis: 87.9779
City: Bellwood, IL, X-Axis: 41.8829, Y-Axis: 87.8764
City: Berkeley, IL, X-Axis: 41.8868, Y-Axis: 87.9105
City: Maywood, IL, X-Axis: 41.8812, Y-Axis: 87.8433
City: Burns Harbor, IN, X-Axis: 41.6147, Y-Axis: 87.1246
City: Elmhurst, IL, X-Axis: 41.8923, Y-Axis: 87.9438
City: Claremont, IL, X-Axis: 38.7203, Y-Axis: 87.9727
City: Wanatah, IN, X-Axis: 41.4296, Y-Axis: 86.8985
City: Oak Park, IL, X-Axis: 41.886, Y-Axis: 87.7903
City: Switz City, IN, X-Axis: 39.0343, Y-Axis: 87.0545
City: River Forest, IL, X-Axis: 41.893, Y-Axis: 87.8172
City: Sumner, IL, X-Axis: 38.7159, Y-Axis: 87.8599
City: Danville, IN, X-Axis: 39.7607, Y-Axis: 86.5178
City: Melrose Park, IL, X-Axis: 41.8999, Y-Axis: 87.8598
City: Winamac, IN, X-Axis: 41.0525, Y-Axis: 86.6044
City: Stone Park, IL, X-Axis: 41.9043, Y-Axis: 87.8805
City: Star City, IN, X-Axis: 40.9724, Y-Axis: 86.557
City: Northlake, IL, X-Axis: 41.9125, Y-Axis: 87.9008
City: Chesterton, IN, X-Axis: 41.6043, Y-Axis: 87.0584
City: Lawrenceville, IL, X-Axis: 38.7257, Y-Axis: 87.6845
City: Bridgeport, IL, X-Axis: 38.71, Y-Axis: 87.7586
City: Lyons, IN, X-Axis: 38.9887, Y-Axis: 87.0822
City: Spencer, IN, X-Axis: 39.2868, Y-Axis: 86.7642
City: Royal Center, IN, X-Axis: 40.864, Y-Axis: 86.4998
City: Pittsboro, IN, X-Axis: 39.8672, Y-Axis: 86.4613
City: Clayton, IN, X-Axis: 39.6894, Y-Axis: 86.5228
